player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Nicolas Claxton,claxtni01,2020,400,183,-1.204882792,1.817677106,0.612794314,-7.017031931,-2.589566082,-9.606598013,-2.470023235,0.994494507,-1.475528728,0.1183851,0.1183851,0,-2.293859793,-1.362458193,-3.656317986,-0.521421247
DeMarre Carroll,carrode01,2020,352,163,-3.699676416,1.779125004,-1.920551412,-0.642796319,1.96617468,1.32337836,-3.300867011,1.962017664,-1.338849347,0.117744735,0.117744735,0,-4.029309692,0.840641835,-3.188667856,0.351775879
Alen Smailagic,smailal01,2020,304,139,-1.441898121,-0.724732794,-2.166630915,3.68407005,-1.052326702,2.631743348,-0.369870047,-0.743579931,-1.113449978,0.116953599,0.116953599,0,-1.181993911,-1.892857175,-3.074851086,0.785316716
Henry Ellenson,ellenhe01,2020,36,15,-4.705207816,13.03364347,8.328435658,-9.632778867,30.34650219,20.71372333,-6.027056422,17.41284242,11.385786,0.108825002,0.108825002,0,-4.599048478,8.706919333,4.107870855,0.607384526
Dusty Hannahs,hannadu01,2020,15,7,7.866982202,20.43891876,28.30590097,33.90926174,-15.73095625,18.17830548,13.90636235,14.2665891,28.17295145,0.108794837,0.108794837,0,7.492026688,10.3948171,17.88684378,-1.518674292
PJ Dozier,doziepj01,2020,489,225,-2.202382016,0.317266391,-1.885115625,-0.624051304,-0.218098271,-0.842149575,-2.031523158,0.215660944,-1.815862214,0.107048104,0.107048104,0,-2.00465908,0.02613748,-1.9785216,-0.177251556
Chandler Hutchison,hutchch01,2020,1154,527,-2.03800341,0.880612899,-1.157390511,-6.105205903,-0.820607125,-6.925813028,-2.950303356,0.578076352,-2.372227003,0.102411481,0.102411481,0,-2.508550114,0.852690276,-1.655859838,0.841599358
Dewayne Dedmon,dedmode01,2020,1413,678,-5.938582764,3.00085101,-2.937731754,-0.616479604,0.715965593,0.099485989,-5.177009939,2.726397242,-2.450612697,0.10232038,0.10232038,0,-4.096607294,2.165075828,-1.931531465,0.197645169
Bruno Fernando,fernabr01,2020,1274,589,-2.899465894,-0.424229858,-3.323695752,-2.206510819,3.761898916,1.555388098,-2.908582294,0.489836105,-2.418746189,0.099613826,0.099613826,0,-2.555283364,-0.920852158,-3.476135522,0.071225558
Eric Mika,mikaer01,2020,41,19,1.939050645,3.460406204,5.39945685,7.677122945,5.410366422,13.08748937,3.324304558,4.129232397,7.453536955,0.098696147,0.098696147,0,4.231365804,3.228456871,7.459822676,-0.221734796
Jaylen Nowell,nowelja01,2020,274,122,-1.885841113,-0.112468005,-1.998309118,-4.143099598,6.392821933,2.249722335,-2.439039891,1.264888127,-1.174151764,0.098202149,0.098202149,0,-2.764817301,-1.201382839,-3.96620014,0.119051127
Frank Mason,masonfr01,2020,40,18,0.182327964,2.790008839,2.972336803,11.6734751,15.04224989,26.71572499,2.437595266,5.342553727,7.780148993,0.097575799,0.097575799,0,1.278683211,1.06558253,2.344265741,0.919337255
Derrick Walton Jr.,waltode01,2020,495,228,-0.155181457,-1.338823677,-1.494005134,-4.064653563,1.117637647,-2.947015916,-1.021269423,-0.952564375,-1.973833798,0.089311105,0.089311105,0,-1.843056025,-1.352305666,-3.195361692,-1.257299114
